YearEnd,LocationDesc,Question,Data_Value,Age_years,GeoLocation
2020,South Carolina,Percent of adults aged 18 years and older who have obesity,43.7,35 - 44,"(33.998821303000454, -81.04537120699968)"
2020,Nebraska,Percent of adults aged 18 years and older who have obesity,41.8,45 - 54,"(41.6410409880005, -99.36572062299967)"
2020,Kansas,Percent of adults aged 18 years and older who have obesity,21.4,18 - 24,"(38.34774030000045, -98.20078122699965)"
2015,Puerto Rico,Percent of adults aged 18 years and older who have obesity,34.2,55 - 64,"(18.220833, -66.590149)"
2020,Washington,Percent of adults aged 18 years and older who have obesity,31.9,35 - 44,"(47.52227862900048, -120.47001078999972)"
2020,Kentucky,Percent of adults aged 18 years and older who have obesity,26.4,18 - 24,"(37.645970271000465, -84.77497104799966)"
2020,Hawaii,Percent of adults aged 18 years and older who have obesity,30.9,45 - 54,"(21.304850435000446, -157.85774940299973)"
2020,Nevada,Percent of adults aged 18 years and older who have obesity,25.7,35 - 44,"(39.493240390000494, -117.07184056399967)"
2020,Indiana,Percent of adults aged 18 years and older who have obesity,23.8,18 - 24,"(39.766910452000445, -86.14996019399968)"
2020,Montana,Percent of adults aged 18 years and older who have obesity,34.6,55 - 64,"(47.06652897200047, -109.42442064499971)"
2020,West Virginia,Percent of adults aged 18 years and older who have obesity,49.2,45 - 54,"(38.66551020200046, -80.71264013499967)"
2020,Vermont,Percent of adults aged 18 years and older who have obesity,29.5,55 - 64,"(43.62538123900049, -72.51764079099962)"
2020,Alabama,Percent of adults aged 18 years and older who have obesity,43.6,35 - 44,"(32.84057112200048, -86.63186076199969)"
2020,Indiana,Percent of adults aged 18 years and older who have obesity,34.3,65 or older,"(39.766910452000445, -86.14996019399968)"
2020,Oklahoma,Percent of adults aged 18 years and older who have obesity,29.9,65 or older,"(35.47203135600046, -97.52107021399968)"
2020,South Dakota,Percent of adults aged 18 years and older who have obesity,43.0,45 - 54,"(44.353130053000484, -100.3735306369997)"
2020,Idaho,Percent of adults aged 18 years and older who have obesity,31.6,35 - 44,"(43.682630005000476, -114.3637300419997)"
2020,New Mexico,Percent of adults aged 18 years and older who have obesity,37.6,35 - 44,"(34.52088095200048, -106.24058098499967)"
2020,Puerto Rico,Percent of adults aged 18 years and older who have obesity,24.1,65 or older,"(18.220833, -66.590149)"
2020,Texas,Percent of adults aged 18 years and older who have obesity,36.4,35 - 44,"(31.827240407000488, -99.42677020599967)"
2020,New Jersey,Percent of adults aged 18 years and older who have obesity,31.4,45 - 54,"(40.13057004800049, -74.27369128799967)"
2020,Maine,Percent of adults aged 18 years and older who have obesity,36.0,35 - 44,"(45.254228894000505, -68.98503133599962)"
2015,Guam,Percent of adults aged 18 years and older who have obesity,22.3,65 or older,"(13.444304, 144.793731)"
2020,Ohio,Percent of adults aged 18 years and older who have obesity,21.3,18 - 24,"(40.06021014100048, -82.40426005599966)"
2020,Kentucky,Percent of adults aged 18 years and older who have obesity,28.4,65 or older,"(37.645970271000465, -84.77497104799966)"
2020,North Carolina,Percent of adults aged 18 years and older who have obesity,21.3,18 - 24,"(35.466220975000454, -79.15925046299964)"
2017,Alaska,Percent of adults aged 18 years and older who have obesity,31.4,25 - 34,"(64.845079957001, -147.722059036)"
2015,Guam,Percent of adults aged 18 years and older who have obesity,28.0,35 - 44,"(13.444304, 144.793731)"
2017,New Jersey,Percent of adults aged 18 years and older who have obesity,26.6,65 or older,"(40.130570048, -74.273691288)"
2013,Puerto Rico,Percent of adults aged 18 years and older who have obesity,15.6,18 - 24,"(18.220833, -66.590149)"
2011,Massachusetts,Percent of adults aged 18 years and older who have obesity,25.0,35 - 44,"(42.27687047, -72.082690675)"
2011,Massachusetts,Percent of adults aged 18 years and older who have obesity,13.0,18 - 24,"(42.27687047, -72.082690675)"
2017,Arkansas,Percent of adults aged 18 years and older who have obesity,42.6,45 - 54,"(34.748650124, -92.274490743)"
2015,Puerto Rico,Percent of adults aged 18 years and older who have obesity,22.1,18 - 24,"(18.220833, -66.590149)"
2017,Iowa,Percent of adults aged 18 years and older who have obesity,43.2,55 - 64,"(42.469400913, -93.816490556)"
2017,Arizona,Percent of adults aged 18 years and older who have obesity,30.5,25 - 34,"(34.86597028, -111.763811277)"
2017,Massachusetts,Percent of adults aged 18 years and older who have obesity,28.5,35 - 44,"(42.27687047, -72.082690675)"
2017,Georgia,Percent of adults aged 18 years and older who have obesity,37.0,35 - 44,"(32.839681093, -83.627580346)"
2017,Tennessee,Percent of adults aged 18 years and older who have obesity,38.4,55 - 64,"(35.68094058, -85.774490914)"
2017,Illinois,Percent of adults aged 18 years and older who have obesity,37.8,55 - 64,"(40.485010283, -88.997710178)"
2017,South Carolina,Percent of adults aged 18 years and older who have obesity,42.3,45 - 54,"(33.998821303, -81.045371207)"
2017,New Mexico,Percent of adults aged 18 years and older who have obesity,30.4,25 - 34,"(34.520880952, -106.240580985)"
2017,Puerto Rico,Percent of adults aged 18 years and older who have obesity,14.4,18 - 24,"(18.220833, -66.590149)"
2017,Oregon,Percent of adults aged 18 years and older who have obesity,30.3,65 or older,"(44.567449424, -120.155031326)"
2017,Kentucky,Percent of adults aged 18 years and older who have obesity,40.9,45 - 54,"(37.645970271, -84.774971048)"
2017,Louisiana,Percent of adults aged 18 years and older who have obesity,34.2,65 or older,"(31.312660644, -92.445680071)"
2017,Louisiana,Percent of adults aged 18 years and older who have obesity,46.8,45 - 54,"(31.312660644, -92.445680071)"
2017,Minnesota,Percent of adults aged 18 years and older who have obesity,24.1,25 - 34,"(46.355648736, -94.794200503)"
2017,Nevada,Percent of adults aged 18 years and older who have obesity,27.4,55 - 64,"(39.49324039, -117.071840564)"
2014,Guam,Percent of adults aged 18 years and older who have obesity,26.0,55 - 64,"(13.444304, 144.793731)"
2013,Puerto Rico,Percent of adults aged 18 years and older who have obesity,34.9,45 - 54,"(18.220833, -66.590149)"
2017,Florida,Percent of adults aged 18 years and older who have obesity,33.4,45 - 54,"(28.932040377, -81.928960539)"
2017,Washington,Percent of adults aged 18 years and older who have obesity,31.4,35 - 44,"(47.522278629, -120.47001079)"
2017,Arizona,Percent of adults aged 18 years and older who have obesity,33.5,55 - 64,"(34.86597028, -111.763811277)"
2017,West Virginia,Percent of adults aged 18 years and older who have obesity,24.5,18 - 24,"(38.665510202, -80.712640135)"
2017,New Hampshire,Percent of adults aged 18 years and older who have obesity,29.0,65 or older,"(43.655950113, -71.50036092)"
2015,Delaware,Percent of adults aged 18 years and older who have obesity,36.3,45 - 54,"(39.008830667, -75.577741168)"
2017,North Dakota,Percent of adults aged 18 years and older who have obesity,21.5,18 - 24,"(47.475319779, -100.118421049)"
2017,South Dakota,Percent of adults aged 18 years and older who have obesity,32.8,25 - 34,"(44.353130053, -100.373530637)"
2017,Wyoming,Percent of adults aged 18 years and older who have obesity,37.7,45 - 54,"(43.235541343, -108.109830353)"
2017,Kentucky,Percent of adults aged 18 years and older who have obesity,20.3,18 - 24,"(37.645970271, -84.774971048)"
2017,California,Percent of adults aged 18 years and older who have obesity,12.7,18 - 24,"(37.638640123, -120.999999538)"
2017,Delaware,Percent of adults aged 18 years and older who have obesity,33.9,65 or older,"(39.008830667, -75.577741168)"
2017,Massachusetts,Percent of adults aged 18 years and older who have obesity,9.5,18 - 24,"(42.27687047, -72.082690675)"
2017,Colorado,Percent of adults aged 18 years and older who have obesity,26.2,55 - 64,"(38.843840757, -106.133610921)"
2017,North Dakota,Percent of adults aged 18 years and older who have obesity,38.5,35 - 44,"(47.475319779, -100.118421049)"
2017,Missouri,Percent of adults aged 18 years and older who have obesity,37.2,55 - 64,"(38.635790776, -92.566300053)"
2017,Oklahoma,Percent of adults aged 18 years and older who have obesity,44.0,45 - 54,"(35.472031356, -97.521070214)"
2017,Vermont,Percent of adults aged 18 years and older who have obesity,27.4,65 or older,"(43.625381239, -72.517640791)"
2017,Alaska,Percent of adults aged 18 years and older who have obesity,41.5,35 - 44,"(64.845079957001, -147.722059036)"
2017,New Hampshire,Percent of adults aged 18 years and older who have obesity,28.4,55 - 64,"(43.655950113, -71.50036092)"
2017,Arizona,Percent of adults aged 18 years and older who have obesity,18.2,18 - 24,"(34.86597028, -111.763811277)"
2017,Montana,Percent of adults aged 18 years and older who have obesity,30.1,55 - 64,"(47.066528972, -109.424420645)"
2017,New Mexico,Percent of adults aged 18 years and older who have obesity,34.3,35 - 44,"(34.520880952, -106.240580985)"
2017,Colorado,Percent of adults aged 18 years and older who have obesity,25.1,35 - 44,"(38.843840757, -106.133610921)"
2017,Colorado,Percent of adults aged 18 years and older who have obesity,19.1,25 - 34,"(38.843840757, -106.133610921)"
2017,Louisiana,Percent of adults aged 18 years and older who have obesity,21.0,18 - 24,"(31.312660644, -92.445680071)"
2014,New Mexico,Percent of adults aged 18 years and older who have obesity,33.2,25 - 34,"(34.520880952, -106.240580985)"
2012,Mississippi,Percent of adults aged 18 years and older who have obesity,37.4,45 - 54,"(32.745510099, -89.538030825)"
2012,Delaware,Percent of adults aged 18 years and older who have obesity,26.0,65 or older,"(39.008830667, -75.577741168)"
2011,District of Columbia,Percent of adults aged 18 years and older who have obesity,26.3,65 or older,"(38.890371385, -77.031961127)"
2011,Missouri,Percent of adults aged 18 years and older who have obesity,37.7,45 - 54,"(38.635790776, -92.566300053)"
2017,Florida,Percent of adults aged 18 years and older who have obesity,17.1,18 - 24,"(28.932040377, -81.928960539)"
2017,Minnesota,Percent of adults aged 18 years and older who have obesity,15.2,18 - 24,"(46.355648736, -94.794200503)"
2017,Oklahoma,Percent of adults aged 18 years and older who have obesity,31.7,25 - 34,"(35.472031356, -97.521070214)"
2017,Pennsylvania,Percent of adults aged 18 years and older who have obesity,34.6,45 - 54,"(40.793730152, -77.860700294)"
2017,Virginia,Percent of adults aged 18 years and older who have obesity,28.8,25 - 34,"(37.542680674, -78.457890463)"
2017,Puerto Rico,Percent of adults aged 18 years and older who have obesity,31.7,25 - 34,"(18.220833, -66.590149)"
2017,Wyoming,Percent of adults aged 18 years and older who have obesity,28.6,65 or older,"(43.235541343, -108.109830353)"
2017,Maryland,Percent of adults aged 18 years and older who have obesity,26.3,25 - 34,"(39.290580964, -76.609260111)"
2017,Utah,Percent of adults aged 18 years and older who have obesity,21.6,25 - 34,"(39.360700171, -111.587130635)"
2017,Indiana,Percent of adults aged 18 years and older who have obesity,33.3,65 or older,"(39.766910452, -86.149960194)"
2017,Kentucky,Percent of adults aged 18 years and older who have obesity,35.6,55 - 64,"(37.645970271, -84.774971048)"
2017,Minnesota,Percent of adults aged 18 years and older who have obesity,33.0,55 - 64,"(46.355648736, -94.794200503)"
2017,Hawaii,Percent of adults aged 18 years and older who have obesity,15.9,18 - 24,"(21.304850435, -157.857749403)"
2017,Georgia,Percent of adults aged 18 years and older who have obesity,16.9,18 - 24,"(32.839681093, -83.627580346)"
2017,New York,Percent of adults aged 18 years and older who have obesity,28.9,45 - 54,"(42.827001032, -75.543970427)"
2017,Colorado,Percent of adults aged 18 years and older who have obesity,27.7,45 - 54,"(38.843840757, -106.133610921)"
2017,Rhode Island,Percent of adults aged 18 years and older who have obesity,15.8,18 - 24,"(41.708280193, -71.522470314)"
2017,Nebraska,Percent of adults aged 18 years and older who have obesity,18.0,18 - 24,"(41.641040988001, -99.365720623)"
2017,Kansas,Percent of adults aged 18 years and older who have obesity,39.2,45 - 54,"(38.3477403, -98.200781227)"
2017,Georgia,Percent of adults aged 18 years and older who have obesity,36.2,45 - 54,"(32.839681093, -83.627580346)"
2017,Washington,Percent of adults aged 18 years and older who have obesity,17.3,18 - 24,"(47.522278629, -120.47001079)"
2017,Wisconsin,Percent of adults aged 18 years and older who have obesity,29.1,65 or older,"(44.393191174, -89.816370742)"
2017,Delaware,Percent of adults aged 18 years and older who have obesity,15.5,18 - 24,"(39.008830667, -75.577741168)"
2017,Connecticut,Percent of adults aged 18 years and older who have obesity,16.2,18 - 24,"(41.56266102, -72.649840952)"
2017,Kansas,Percent of adults aged 18 years and older who have obesity,21.9,18 - 24,"(38.3477403, -98.200781227)"
2017,Connecticut,Percent of adults aged 18 years and older who have obesity,31.5,45 - 54,"(41.56266102, -72.649840952)"
2017,Oregon,Percent of adults aged 18 years and older who have obesity,34.3,55 - 64,"(44.567449424, -120.155031326)"
2017,Michigan,Percent of adults aged 18 years and older who have obesity,37.2,55 - 64,"(44.661319543001, -84.71439027)"
2017,Virginia,Percent of adults aged 18 years and older who have obesity,35.8,45 - 54,"(37.542680674, -78.457890463)"
2017,Texas,Percent of adults aged 18 years and older who have obesity,30.6,65 or older,"(31.827240407, -99.426770206)"
2017,Hawaii,Percent of adults aged 18 years and older who have obesity,22.2,55 - 64,"(21.304850435, -157.857749403)"
2017,Montana,Percent of adults aged 18 years and older who have obesity,22.3,25 - 34,"(47.066528972, -109.424420645)"
2017,Oregon,Percent of adults aged 18 years and older who have obesity,34.0,45 - 54,"(44.567449424, -120.155031326)"
2017,Rhode Island,Percent of adults aged 18 years and older who have obesity,32.3,35 - 44,"(41.708280193, -71.522470314)"
2017,Arizona,Percent of adults aged 18 years and older who have obesity,34.4,35 - 44,"(34.86597028, -111.763811277)"
2017,California,Percent of adults aged 18 years and older who have obesity,25.4,35 - 44,"(37.638640123, -120.999999538)"
2014,Puerto Rico,Percent of adults aged 18 years and older who have obesity,17.1,18 - 24,"(18.220833, -66.590149)"
2013,Puerto Rico,Percent of adults aged 18 years and older who have obesity,21.6,65 or older,"(18.220833, -66.590149)"
2017,Mississippi,Percent of adults aged 18 years and older who have obesity,24.2,18 - 24,"(32.745510099, -89.538030825)"
2017,Puerto Rico,Percent of adults aged 18 years and older who have obesity,38.8,35 - 44,"(18.220833, -66.590149)"
2017,Tennessee,Percent of adults aged 18 years and older who have obesity,15.6,18 - 24,"(35.68094058, -85.774490914)"
2017,Colorado,Percent of adults aged 18 years and older who have obesity,22.4,65 or older,"(38.843840757, -106.133610921)"
2017,Rhode Island,Percent of adults aged 18 years and older who have obesity,35.8,45 - 54,"(41.708280193, -71.522470314)"
2017,Wisconsin,Percent of adults aged 18 years and older who have obesity,39.3,55 - 64,"(44.393191174, -89.816370742)"
2014,Guam,Percent of adults aged 18 years and older who have obesity,18.7,18 - 24,"(13.444304, 144.793731)"
2017,Alabama,Percent of adults aged 18 years and older who have obesity,41.2,55 - 64,"(32.840571122, -86.631860762)"
2015,Puerto Rico,Percent of adults aged 18 years and older who have obesity,34.4,45 - 54,"(18.220833, -66.590149)"
2017,Arizona,Percent of adults aged 18 years and older who have obesity,34.4,45 - 54,"(34.86597028, -111.763811277)"
2017,Illinois,Percent of adults aged 18 years and older who have obesity,30.2,65 or older,"(40.485010283, -88.997710178)"
2014,Guam,Percent of adults aged 18 years and older who have obesity,30.5,35 - 44,"(13.444304, 144.793731)"
2017,Kansas,Percent of adults aged 18 years and older who have obesity,31.4,25 - 34,"(38.3477403, -98.200781227)"
2017,New Hampshire,Percent of adults aged 18 years and older who have obesity,32.4,45 - 54,"(43.655950113, -71.50036092)"
2017,Hawaii,Percent of adults aged 18 years and older who have obesity,26.8,25 - 34,"(21.304850435, -157.857749403)"
2017,New York,Percent of adults aged 18 years and older who have obesity,26.9,65 or older,"(42.827001032, -75.543970427)"
2017,Tennessee,Percent of adults aged 18 years and older who have obesity,31.1,25 - 34,"(35.68094058, -85.774490914)"
2017,New Jersey,Percent of adults aged 18 years and older who have obesity,15.3,18 - 24,"(40.130570048, -74.273691288)"
2017,Idaho,Percent of adults aged 18 years and older who have obesity,29.0,25 - 34,"(43.682630005, -114.363730042)"
2017,New Jersey,Percent of adults aged 18 years and older who have obesity,32.9,45 - 54,"(40.130570048, -74.273691288)"
2017,Washington,Percent of adults aged 18 years and older who have obesity,26.9,65 or older,"(47.522278629, -120.47001079)"
2017,Kansas,Percent of adults aged 18 years and older who have obesity,29.3,65 or older,"(38.3477403, -98.200781227)"
2017,Wisconsin,Percent of adults aged 18 years and older who have obesity,30.4,25 - 34,"(44.393191174, -89.816370742)"
2017,Arizona,Percent of adults aged 18 years and older who have obesity,25.5,65 or older,"(34.86597028, -111.763811277)"
2017,Arkansas,Percent of adults aged 18 years and older who have obesity,13.3,18 - 24,"(34.748650124, -92.274490743)"
2017,Oklahoma,Percent of adults aged 18 years and older who have obesity,43.2,35 - 44,"(35.472031356, -97.521070214)"
2017,Wyoming,Percent of adults aged 18 years and older who have obesity,24.2,25 - 34,"(43.235541343, -108.109830353)"
2017,Washington,Percent of adults aged 18 years and older who have obesity,32.4,55 - 64,"(47.522278629, -120.47001079)"
2017,Massachusetts,Percent of adults aged 18 years and older who have obesity,26.1,25 - 34,"(42.27687047, -72.082690675)"
2017,Ohio,Percent of adults aged 18 years and older who have obesity,38.8,35 - 44,"(40.060210141, -82.404260056)"
2017,Illinois,Percent of adults aged 18 years and older who have obesity,31.6,35 - 44,"(40.485010283, -88.997710178)"
2017,Guam,Percent of adults aged 18 years and older who have obesity,14.5,18 - 24,"(13.444304, 144.793731)"
2017,Wisconsin,Percent of adults aged 18 years and older who have obesity,22.5,18 - 24,"(44.393191174, -89.816370742)"
2017,Nebraska,Percent of adults aged 18 years and older who have obesity,30.6,25 - 34,"(41.641040988001, -99.365720623)"
2017,Utah,Percent of adults aged 18 years and older who have obesity,26.8,65 or older,"(39.360700171, -111.587130635)"
2017,South Carolina,Percent of adults aged 18 years and older who have obesity,22.3,18 - 24,"(33.998821303, -81.045371207)"
2015,Guam,Percent of adults aged 18 years and older who have obesity,36.5,25 - 34,"(13.444304, 144.793731)"
2017,North Carolina,Percent of adults aged 18 years and older who have obesity,30.3,65 or older,"(35.466220975, -79.159250463)"
2017,Mississippi,Percent of adults aged 18 years and older who have obesity,42.9,55 - 64,"(32.745510099, -89.538030825)"
2017,Utah,Percent of adults aged 18 years and older who have obesity,33.7,55 - 64,"(39.360700171, -111.587130635)"
2017,Nebraska,Percent of adults aged 18 years and older who have obesity,39.6,45 - 54,"(41.641040988001, -99.365720623)"
2017,Florida,Percent of adults aged 18 years and older who have obesity,25.4,65 or older,"(28.932040377, -81.928960539)"
2017,Guam,Percent of adults aged 18 years and older who have obesity,42.8,25 - 34,"(13.444304, 144.793731)"
2017,Michigan,Percent of adults aged 18 years and older who have obesity,32.4,65 or older,"(44.661319543001, -84.71439027)"
2017,Maryland,Percent of adults aged 18 years and older who have obesity,31.2,65 or older,"(39.290580964, -76.609260111)"
2017,Tennessee,Percent of adults aged 18 years and older who have obesity,38.5,45 - 54,"(35.68094058, -85.774490914)"
2017,Washington,Percent of adults aged 18 years and older who have obesity,30.1,45 - 54,"(47.522278629, -120.47001079)"
2017,Tennessee,Percent of adults aged 18 years and older who have obesity,30.6,65 or older,"(35.68094058, -85.774490914)"
2017,Vermont,Percent of adults aged 18 years and older who have obesity,33.9,45 - 54,"(43.625381239, -72.517640791)"
2017,Florida,Percent of adults aged 18 years and older who have obesity,30.4,35 - 44,"(28.932040377, -81.928960539)"
2017,North Dakota,Percent of adults aged 18 years and older who have obesity,38.0,45 - 54,"(47.475319779, -100.118421049)"
2017,Tennessee,Percent of adults aged 18 years and older who have obesity,38.9,35 - 44,"(35.68094058, -85.774490914)"
2017,New Hampshire,Percent of adults aged 18 years and older who have obesity,29.6,25 - 34,"(43.655950113, -71.50036092)"
2017,Maine,Percent of adults aged 18 years and older who have obesity,12.9,18 - 24,"(45.254228894001, -68.985031336)"
2017,Missouri,Percent of adults aged 18 years and older who have obesity,34.9,35 - 44,"(38.635790776, -92.566300053)"
2017,Maine,Percent of adults aged 18 years and older who have obesity,34.6,45 - 54,"(45.254228894001, -68.985031336)"
2017,South Dakota,Percent of adults aged 18 years and older who have obesity,29.6,35 - 44,"(44.353130053, -100.373530637)"
2017,Alaska,Percent of adults aged 18 years and older who have obesity,37.7,45 - 54,"(64.845079957001, -147.722059036)"
2017,South Dakota,Percent of adults aged 18 years and older who have obesity,40.0,45 - 54,"(44.353130053, -100.373530637)"
2017,Pennsylvania,Percent of adults aged 18 years and older who have obesity,32.4,65 or older,"(40.793730152, -77.860700294)"
2017,Arkansas,Percent of adults aged 18 years and older who have obesity,30.6,65 or older,"(34.748650124, -92.274490743)"
2017,Maine,Percent of adults aged 18 years and older who have obesity,26.9,25 - 34,"(45.254228894001, -68.985031336)"
2017,District of Columbia,Percent of adults aged 18 years and older who have obesity,27.6,45 - 54,"(38.890371385, -77.031961127)"
2017,Kentucky,Percent of adults aged 18 years and older who have obesity,31.5,65 or older,"(37.645970271, -84.774971048)"
2017,Puerto Rico,Percent of adults aged 18 years and older who have obesity,27.1,65 or older,"(18.220833, -66.590149)"
2017,New Mexico,Percent of adults aged 18 years and older who have obesity,21.6,65 or older,"(34.520880952, -106.240580985)"
2017,North Dakota,Percent of adults aged 18 years and older who have obesity,38.6,55 - 64,"(47.475319779, -100.118421049)"
2017,Puerto Rico,Percent of adults aged 18 years and older who have obesity,40.8,55 - 64,"(18.220833, -66.590149)"
2017,Texas,Percent of adults aged 18 years and older who have obesity,39.4,45 - 54,"(31.827240407, -99.426770206)"
2017,North Dakota,Percent of adults aged 18 years and older who have obesity,32.1,65 or older,"(47.475319779, -100.118421049)"
2017,Maryland,Percent of adults aged 18 years and older who have obesity,36.3,35 - 44,"(39.290580964, -76.609260111)"
2017,Missouri,Percent of adults aged 18 years and older who have obesity,40.4,45 - 54,"(38.635790776, -92.566300053)"
2017,Delaware,Percent of adults aged 18 years and older who have obesity,35.7,35 - 44,"(39.008830667, -75.577741168)"
2017,Montana,Percent of adults aged 18 years and older who have obesity,31.4,45 - 54,"(47.066528972, -109.424420645)"
2017,Iowa,Percent of adults aged 18 years and older who have obesity,32.5,65 or older,"(42.469400913, -93.816490556)"
2017,Virginia,Percent of adults aged 18 years and older who have obesity,28.2,65 or older,"(37.542680674, -78.457890463)"
2017,North Carolina,Percent of adults aged 18 years and older who have obesity,34.2,35 - 44,"(35.466220975, -79.159250463)"
2017,Maryland,Percent of adults aged 18 years and older who have obesity,36.7,45 - 54,"(39.290580964, -76.609260111)"
2017,West Virginia,Percent of adults aged 18 years and older who have obesity,35.8,25 - 34,"(38.665510202, -80.712640135)"
2017,Guam,Percent of adults aged 18 years and older who have obesity,41.5,35 - 44,"(13.444304, 144.793731)"
2017,Maine,Percent of adults aged 18 years and older who have obesity,32.4,35 - 44,"(45.254228894001, -68.985031336)"
2017,Rhode Island,Percent of adults aged 18 years and older who have obesity,30.9,25 - 34,"(41.708280193, -71.522470314)"
2017,New York,Percent of adults aged 18 years and older who have obesity,22.0,25 - 34,"(42.827001032, -75.543970427)"
2017,Vermont,Percent of adults aged 18 years and older who have obesity,30.3,35 - 44,"(43.625381239, -72.517640791)"
2017,New Mexico,Percent of adults aged 18 years and older who have obesity,33.0,55 - 64,"(34.520880952, -106.240580985)"
2017,New York,Percent of adults aged 18 years and older who have obesity,31.8,55 - 64,"(42.827001032, -75.543970427)"
2017,Pennsylvania,Percent of adults aged 18 years and older who have obesity,29.8,25 - 34,"(40.793730152, -77.860700294)"
2017,Ohio,Percent of adults aged 18 years and older who have obesity,32.5,25 - 34,"(40.060210141, -82.404260056)"
2017,Indiana,Percent of adults aged 18 years and older who have obesity,31.4,25 - 34,"(39.766910452, -86.149960194)"
2017,New Mexico,Percent of adults aged 18 years and older who have obesity,34.7,45 - 54,"(34.520880952, -106.240580985)"
2017,New Jersey,Percent of adults aged 18 years and older who have obesity,25.7,25 - 34,"(40.130570048, -74.273691288)"
2017,North Carolina,Percent of adults aged 18 years and older who have obesity,15.6,18 - 24,"(35.466220975, -79.159250463)"
2017,Massachusetts,Percent of adults aged 18 years and older who have obesity,29.9,45 - 54,"(42.27687047, -72.082690675)"
2017,Wyoming,Percent of adults aged 18 years and older who have obesity,33.3,35 - 44,"(43.235541343, -108.109830353)"
2017,New York,Percent of adults aged 18 years and older who have obesity,28.4,35 - 44,"(42.827001032, -75.543970427)"
2017,District of Columbia,Percent of adults aged 18 years and older who have obesity,16.0,18 - 24,"(38.890371385, -77.031961127)"
2017,West Virginia,Percent of adults aged 18 years and older who have obesity,43.8,55 - 64,"(38.665510202, -80.712640135)"
2017,Georgia,Percent of adults aged 18 years and older who have obesity,29.3,65 or older,"(32.839681093, -83.627580346)"
2017,Ohio,Percent of adults aged 18 years and older who have obesity,37.5,55 - 64,"(40.060210141, -82.404260056)"
2017,Alabama,Percent of adults aged 18 years and older who have obesity,36.3,25 - 34,"(32.840571122, -86.631860762)"
2017,Idaho,Percent of adults aged 18 years and older who have obesity,16.2,18 - 24,"(43.682630005, -114.363730042)"
2017,Ohio,Percent of adults aged 18 years and older who have obesity,30.9,65 or older,"(40.060210141, -82.404260056)"
2017,Missouri,Percent of adults aged 18 years and older who have obesity,30.7,25 - 34,"(38.635790776, -92.566300053)"
2017,Connecticut,Percent of adults aged 18 years and older who have obesity,30.0,55 - 64,"(41.56266102, -72.649840952)"
2017,Mississippi,Percent of adults aged 18 years and older who have obesity,39.9,25 - 34,"(32.745510099, -89.538030825)"
2017,Indiana,Percent of adults aged 18 years and older who have obesity,38.0,45 - 54,"(39.766910452, -86.149960194)"
2017,Arkansas,Percent of adults aged 18 years and older who have obesity,38.8,25 - 34,"(34.748650124, -92.274490743)"
2017,Louisiana,Percent of adults aged 18 years and older who have obesity,34.9,25 - 34,"(31.312660644, -92.445680071)"
2017,Nebraska,Percent of adults aged 18 years and older who have obesity,31.8,65 or older,"(41.641040988001, -99.365720623)"
2017,Montana,Percent of adults aged 18 years and older who have obesity,29.1,35 - 44,"(47.066528972, -109.424420645)"
2017,Utah,Percent of adults aged 18 years and older who have obesity,13.3,18 - 24,"(39.360700171, -111.587130635)"
2017,New Jersey,Percent of adults aged 18 years and older who have obesity,29.8,55 - 64,"(40.130570048, -74.273691288)"
2017,New Jersey,Percent of adults aged 18 years and older who have obesity,28.6,35 - 44,"(40.130570048, -74.273691288)"
2017,Alabama,Percent of adults aged 18 years and older who have obesity,20.7,18 - 24,"(32.840571122, -86.631860762)"
2017,Mississippi,Percent of adults aged 18 years and older who have obesity,41.4,45 - 54,"(32.745510099, -89.538030825)"
2017,Arkansas,Percent of adults aged 18 years and older who have obesity,41.8,35 - 44,"(34.748650124, -92.274490743)"
2017,California,Percent of adults aged 18 years and older who have obesity,31.8,55 - 64,"(37.638640123, -120.999999538)"
2017,New York,Percent of adults aged 18 years and older who have obesity,12.3,18 - 24,"(42.827001032, -75.543970427)"
2017,New Hampshire,Percent of adults aged 18 years and older who have obesity,17.1,18 - 24,"(43.655950113, -71.50036092)"
2017,Alaska,Percent of adults aged 18 years and older who have obesity,23.0,18 - 24,"(64.845079957001, -147.722059036)"
2017,Iowa,Percent of adults aged 18 years and older who have obesity,42.4,45 - 54,"(42.469400913, -93.816490556)"
2017,California,Percent of adults aged 18 years and older who have obesity,22.6,25 - 34,"(37.638640123, -120.999999538)"
2017,California,Percent of adults aged 18 years and older who have obesity,24.2,65 or older,"(37.638640123, -120.999999538)"
2017,Nevada,Percent of adults aged 18 years and older who have obesity,28.9,25 - 34,"(39.49324039, -117.071840564)"
2012,South Dakota,Percent of adults aged 18 years and older who have obesity,32.0,45 - 54,"(44.353130053, -100.373530637)"
2011,New Hampshire,Percent of adults aged 18 years and older who have obesity,32.4,55 - 64,"(43.655950113, -71.50036092)"
2013,Massachusetts,Percent of adults aged 18 years and older who have obesity,29.0,55 - 64,"(42.27687047, -72.082690675)"
2013,Washington,Percent of adults aged 18 years and older who have obesity,27.0,65 or older,"(47.522278629, -120.47001079)"
2011,South Carolina,Percent of adults aged 18 years and older who have obesity,16.3,18 - 24,"(33.998821303, -81.045371207)"
2014,District of Columbia,Percent of adults aged 18 years and older who have obesity,10.3,18 - 24,"(38.890371385, -77.031961127)"
2011,Arizona,Percent of adults aged 18 years and older who have obesity,18.7,18 - 24,"(34.86597028, -111.763811277)"
